                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0983,                 2.2076,                 1.2744,                0.77758,                0.62996,                0.72334,                0.51512,                0.93679,                 1.9869,                 1.0522,             0.00025005,             0.00025005,             0.00025005
                      1,                0.91138,                 1.0177,                 1.1483,                0.70133,                0.73188,                0.78853,                0.55706,                0.91431,                 2.2928,                 1.0929,             0.00050654,             0.00050654,             0.00050654
                      2,                0.96586,                0.95006,                  1.164,                 0.6627,                0.58608,                0.59857,                0.37913,                 1.2701,                 1.5283,                 1.2827,             0.00075246,             0.00075246,             0.00075246
                      3,                 1.0375,                0.98677,                 1.1902,                0.63361,                0.68052,                0.66403,                0.44186,                 1.0871,                 1.6099,                 1.1729,             0.00098783,             0.00098783,             0.00098783
                      4,                 1.0384,                0.96408,                 1.1985,                0.63961,                0.50213,                0.53766,                0.32121,                 1.3977,                 2.0973,                 1.3926,              0.0012126,              0.0012126,              0.0012126
                      5,                   1.07,                0.96161,                 1.2139,                0.63473,                0.64264,                0.64231,                0.34363,                 1.4974,                 2.6256,                 1.4967,              0.0014269,              0.0014269,              0.0014269
                      6,                 1.0232,                0.93445,                 1.1723,                0.66564,                0.57069,                0.62225,                0.35191,                 1.5912,                 1.6273,                 1.5439,               0.001469,               0.001469,               0.001469
                      7,                  1.042,                0.96751,                 1.1898,                0.64699,                0.54533,                0.60347,                0.34169,                 1.5953,                 1.8546,                 1.5281,               0.001469,               0.001469,               0.001469
                      8,                 1.0461,                0.96927,                 1.2024,                0.62042,                0.51042,                0.52535,                0.31793,                 1.6526,                 1.9772,                 1.5129,               0.001436,               0.001436,               0.001436
                      9,                 1.0434,                0.90195,                 1.2135,                0.70787,                 0.6051,                0.59882,                0.35686,                 1.5917,                 1.5983,                 1.4695,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.0064,                0.87592,                 1.1704,                0.70942,                0.62891,                0.67316,                0.48165,                 1.0991,                 1.2424,                 1.1947,              0.0013699,              0.0013699,              0.0013699
                     11,                0.98094,                0.87155,                 1.1619,                0.65801,                  0.636,                0.68583,                  0.472,                 1.1293,                 1.2473,                  1.187,              0.0013369,              0.0013369,              0.0013369
                     12,                0.95317,                0.85164,                 1.1474,                0.74062,                0.68772,                 0.7301,                0.50082,                 1.1484,                 0.9856,                 1.2163,              0.0013039,              0.0013039,              0.0013039
                     13,                0.97684,                 0.8113,                 1.1415,                0.84008,                0.66835,                0.76409,                0.53816,                 1.0992,                0.96291,                 1.1819,              0.0012709,              0.0012709,              0.0012709
                     14,                0.94371,                0.80427,                 1.1316,                0.76113,                0.67502,                 0.7383,                0.47756,                 1.2199,                 1.1495,                 1.2851,              0.0012379,              0.0012379,              0.0012379
                     15,                0.94979,                0.82773,                 1.1368,                0.82923,                0.71822,                0.78944,                0.53745,                 1.1295,                0.95152,                 1.2145,              0.0012049,              0.0012049,              0.0012049
                     16,                0.91293,                0.78238,                 1.1332,                0.81165,                 0.7116,                0.77834,                0.53512,                 1.0957,                 0.9507,                 1.2229,              0.0011719,              0.0011719,              0.0011719
                     17,                0.93284,                0.76519,                 1.1314,                0.88912,                0.70012,                0.80767,                0.56081,                0.97549,                0.84566,                 1.1144,              0.0011389,              0.0011389,              0.0011389
                     18,                0.90168,                0.78162,                  1.111,                0.86996,                0.67804,                0.80104,                0.55302,                 1.1216,                 0.8323,                 1.1968,              0.0011059,              0.0011059,              0.0011059
                     19,                 0.8855,                0.74275,                 1.0999,                0.86919,                0.69534,                0.79922,                0.55905,                 1.0415,                0.87112,                 1.1408,              0.0010729,              0.0010729,              0.0010729
